ISSUER NAME	CLASS TITLE	CUSIP	VALUE ($thousands)	INVESTMENT DISCRETION	SHRS or PRN AMOUNT	SH or PRN	VOTING AUTH SOLE	VOTING AUTH SHARED	VOTING AUTH NONE
ARCOS DORADOS HOLDINGS INC	SHS CLASS -A -	G0457F107	24178	SOLE	3060500	SH	3060500	0	0
AUTONATION INC	COM	05329W102	67784	SOLE	1898717	SH	1898717	0	0
BERKSHIRE HATHAWAY INC DEL	CL B NEW	084670702	11654385	SOLE	57078974	SH	57078974	0	0
CANADIAN NATL RY CO	COM	136375102	1269273	SOLE	17126874	SH	17126874	0	0
CATERPILLAR INC DEL	COM	149123101	1430917	SOLE	11260857	SH	11260857	0	0
COCA COLA FEMSA S A B DE C V	SPON ADR REP L	191241108	378104	SOLE	6214719	SH	6214719	0	0
CROWN CASTLE INTL CORP NEW	COM	22822V101	579313	SOLE	5332900	SH	5332900	0	0
ECOLAB INC	COM	278865100	643393	SOLE	4366426	SH	4366426	0	0
FEDEX CORP	COM	31428X106	488023	SOLE	3024999	SH	3024999	0	0
GRUPO TELEVISA SA	SPON ADR REP ORD	40049J206	212339	SOLE	16879104	SH	16879104	0	0
LIBERTY GLOBAL PLC	SHS CL A	G5480U104	45230	SOLE	2119515	SH	2119515	0	0
LIBERTY GLOBAL PLC	SHS CL C	G5480U120	75116	SOLE	3639349	SH	3639349	0	0
LIBERTY LATIN AMERICA LTD	COM CL A	G9001E102	5364	SOLE	370424	SH	370424	0	0
LIBERTY LATIN AMERICA LTD	COM CL C	G9001E128	9267	SOLE	636044	SH	636044	0	0
MICROSOFT CORP	COM	594918104	1625120	SOLE	16000000	SH	16000000	0	0
UNITED PARCEL SERVICE INC	CL B	911312106	441355	SOLE	4525329	SH	4525329	0	0
WALMART INC	COM	931142103	1080819	SOLE	11603000	SH	11603000	0	0
WALGREENS BOOTS ALLIANCE INC	COM	931427108	237474	SOLE	3475398	SH	3475398	0	0
WASTE MGMT INC DEL	COM	94106L109	1658210	SOLE	18633672	SH	18633672	0	0
