ISSUER NAME	CLASS TITLE	CUSIP	VALUE ($thousands)	INVESTMENT DISCRETION	SHRS or PRN AMOUNT	SH or PRN	VOTING AUTH SOLE	VOTING AUTH SHARED	VOTING AUTH NONE
3M COMPANY	com	88579Y101	367551	SOLE	1929	SH	0	0	0
ABBOTT LABS.	com	002824100	554337	SOLE	7664	SH	0	0	0
ABBVIE INC	com	00287Y109	792926	SOLE	8601	SH	0	0	0
ALLERGAN PLC	com	g0177j108	846067	SOLE	6330	SH	0	0	0
ALPHABET, INC. A	com	02079k305	27301669	SOLE	26127	SH	0	0	0
ALPHABET, INC. C	com	02079k107	6978983	SOLE	6739	SH	0	0	0
ALTRIA GROUP INC	com	02209s103	1891637	SOLE	38300	SH	0	0	0
AMAZON.COM INC	com	023135106	27780437	SOLE	18496	SH	0	0	0
AMGEN INC.	com	031162100	12066619	SOLE	61985	SH	0	0	0
APPLE INC.	com	037833100	59730774	SOLE	378666	SH	0	0	0
BANK OF AMERICA CORP	com	060505104	5487599	SOLE	222711	SH	0	0	0
BERKSHIRE HATHAWAY INC. CL B	com	084670702	1576473	SOLE	7721	SH	0	0	0
BERKSHIRE HATHAWAY INC. CLASS A	com	084670108	612000	SOLE	2	SH	0	0	0
BOEING CO	com	097023105	15330037	SOLE	47535	SH	0	0	0
CANOPY RIVERS INC-A	com	138041108	50248	SOLE	22000	SH	0	0	0
CBOE HOLDINGS INC	com	12503M108	954625	SOLE	9758	SH	0	0	0
CHEVRON CORPORATION	com	166764100	799606	SOLE	7350	SH	0	0	0
CISCO SYSTEMS INC.	com	17275R102	4917608	SOLE	113492	SH	0	0	0
CITIGROUP INC	com	172967101	377487	SOLE	7251	SH	0	0	0
COMCAST CORP NEW CL A	com	20030N101	732075	SOLE	21500	SH	0	0	0
CONOCOPHILLIPS	com	20825C104	2385947	SOLE	38267	SH	0	0	0
COSTCO WHOLESALE CORP	com	22160k105	2710361	SOLE	13305	SH	0	0	0
DANAHER CORP	com	235851102	1966601	SOLE	19071	SH	0	0	0
